,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Crypto Name,Ticker
1699,11/15/20,24717.23169,18242.61661,25052.80837,24717.23169,24717.23169,-2929.704639,-2929.704639,-2929.704639,-34.68859821,-34.68859821,-34.68859821,-2895.016041,-2895.016041,-2895.016041,0,0,0,21787.52705,Bitcoin,BTC
1700,11/16/20,24815.87903,18628.09314,25378.15407,24815.87903,24815.87903,-2817.057394,-2817.057394,-2817.057394,15.17419617,15.17419617,15.17419617,-2832.231591,-2832.231591,-2832.231591,0,0,0,21998.82163,Bitcoin,BTC
1701,11/17/20,24914.52637,18659.83373,25320.4786,24914.52637,24914.52637,-2768.353132,-2768.353132,-2768.353132,-2.606803846,-2.606803846,-2.606803846,-2765.746328,-2765.746328,-2765.746328,0,0,0,22146.17324,Bitcoin,BTC
1702,11/18/20,25013.17371,18762.04763,25615.19643,25013.17371,25013.17371,-2667.111515,-2667.111515,-2667.111515,28.86619023,28.86619023,28.86619023,-2695.977705,-2695.977705,-2695.977705,0,0,0,22346.06219,Bitcoin,BTC
1703,11/19/20,25111.82105,19025.48945,26058.01215,25111.82105,25111.82105,-2614.872997,-2614.872997,-2614.872997,8.543823105,8.543823105,8.543823105,-2623.41682,-2623.41682,-2623.41682,0,0,0,22496.94805,Bitcoin,BTC
1704,11/20/20,25210.46839,19422.60367,26002.32347,25210.46839,25210.46839,-2565.754371,-2565.754371,-2565.754371,-17.14474846,-17.14474846,-17.14474846,-2548.609623,-2548.609623,-2548.609623,0,0,0,22644.71402,Bitcoin,BTC
1705,11/21/20,25309.11573,19461.31589,26347.58064,25309.11573,25309.11573,-2470.280241,-2470.280241,-2470.280241,1.855941016,1.855941016,1.855941016,-2472.136182,-2472.136182,-2472.136182,0,0,0,22838.83549,Bitcoin,BTC
1706,11/22/20,25407.76307,19498.10147,26574.3765,25407.76307,25407.76307,-2429.277218,-2429.277218,-2429.277218,-34.68859821,-34.68859821,-34.68859821,-2394.58862,-2394.58862,-2394.58862,0,0,0,22978.48585,Bitcoin,BTC
1707,11/23/20,25506.41041,19850.77563,26810.36373,25506.41041,25506.41041,-2301.374203,-2301.374203,-2301.374203,15.17419617,15.17419617,15.17419617,-2316.548399,-2316.548399,-2316.548399,0,0,0,23205.03621,Bitcoin,BTC
1708,11/24/20,25605.05775,19706.15869,26859.62331,25605.05775,25605.05775,-2241.170457,-2241.170457,-2241.170457,-2.606803846,-2.606803846,-2.606803846,-2238.563653,-2238.563653,-2238.563653,0,0,0,23363.88729,Bitcoin,BTC
1709,11/25/20,25703.70509,20056.08502,27035.26709,25703.70509,25703.70509,-2132.261083,-2132.261083,-2132.261083,28.86619023,28.86619023,28.86619023,-2161.127273,-2161.127273,-2161.127273,0,0,0,23571.444,Bitcoin,BTC
1710,11/26/20,25802.35243,20390.50982,27223.07724,25802.35243,25802.35243,-2076.11261,-2076.11261,-2076.11261,8.543823105,8.543823105,8.543823105,-2084.656433,-2084.656433,-2084.656433,0,0,0,23726.23982,Bitcoin,BTC
1711,11/27/20,25900.99977,20409.68907,27523.71499,25900.99977,25900.99977,-2026.618979,-2026.618979,-2026.618979,-17.14474846,-17.14474846,-17.14474846,-2009.47423,-2009.47423,-2009.47423,0,0,0,23874.38079,Bitcoin,BTC
1712,11/28/20,25999.64711,20684.58588,27500.17605,25999.64711,25999.64711,-1933.938092,-1933.938092,-1933.938092,1.855941016,1.855941016,1.855941016,-1935.794033,-1935.794033,-1935.794033,0,0,0,24065.70902,Bitcoin,BTC
1713,11/29/20,26098.29445,20597.87552,27772.97484,26098.29445,26098.29445,-1898.395681,-1898.395681,-1898.395681,-34.68859821,-34.68859821,-34.68859821,-1863.707083,-1863.707083,-1863.707083,0,0,0,24199.89877,Bitcoin,BTC
1714,11/30/20,26196.94179,20899.10147,28072.63042,26196.94179,26196.94179,-1777.999598,-1777.999598,-1777.999598,15.17419617,15.17419617,15.17419617,-1793.173794,-1793.173794,-1793.173794,0,0,0,24418.94219,Bitcoin,BTC
1715,12/1/20,26295.58913,20995.40905,28166.11218,26295.58913,26295.58913,-1726.625913,-1726.625913,-1726.625913,-2.606803846,-2.606803846,-2.606803846,-1724.019109,-1724.019109,-1724.019109,0,0,0,24568.96321,Bitcoin,BTC
1716,12/2/20,26394.23647,21354.22024,28377.23243,26394.23647,26394.23647,-1627.065939,-1627.065939,-1627.065939,28.86619023,28.86619023,28.86619023,-1655.93213,-1655.93213,-1655.93213,0,0,0,24767.17053,Bitcoin,BTC
1717,12/3/20,26492.88381,21263.07411,28395.41617,26492.88381,26492.88381,-1579.926336,-1579.926336,-1579.926336,8.543823105,8.543823105,8.543823105,-1588.470159,-1588.470159,-1588.470159,0,0,0,24912.95747,Bitcoin,BTC
1718,12/4/20,26591.53115,21405.56776,28619.0569,26591.53115,26591.53115,-1538.211876,-1538.211876,-1538.211876,-17.14474846,-17.14474846,-17.14474846,-1521.067127,-1521.067127,-1521.067127,0,0,0,25053.31927,Bitcoin,BTC
1719,12/5/20,26690.17849,21753.72485,28607.20785,26690.17849,26690.17849,-1451.190337,-1451.190337,-1451.190337,1.855941016,1.855941016,1.855941016,-1453.046278,-1453.046278,-1453.046278,0,0,0,25238.98815,Bitcoin,BTC
1720,12/6/20,26788.82583,21817.86253,28899.85269,26788.82583,26788.82583,-1418.325436,-1418.325436,-1418.325436,-34.68859821,-34.68859821,-34.68859821,-1383.636838,-1383.636838,-1383.636838,0,0,0,25370.50039,Bitcoin,BTC
1721,12/7/20,26887.47317,21909.6206,29128.60104,26887.47317,26887.47317,-1296.820107,-1296.820107,-1296.820107,15.17419617,15.17419617,15.17419617,-1311.994303,-1311.994303,-1311.994303,0,0,0,25590.65306,Bitcoin,BTC
1722,12/8/20,26986.12051,22231.49307,29160.99688,26986.12051,26986.12051,-1239.830645,-1239.830645,-1239.830645,-2.606803846,-2.606803846,-2.606803846,-1237.223841,-1237.223841,-1237.223841,0,0,0,25746.28986,Bitcoin,BTC
1723,12/9/20,27084.76785,22243.11092,29546.39624,27084.76785,27084.76785,-1129.540029,-1129.540029,-1129.540029,28.86619023,28.86619023,28.86619023,-1158.406219,-1158.406219,-1158.406219,0,0,0,25955.22782,Bitcoin,BTC
1724,12/10/20,27183.41519,22536.32748,29567.33283,27183.41519,27183.41519,-1066.081768,-1066.081768,-1066.081768,8.543823105,8.543823105,8.543823105,-1074.625591,-1074.625591,-1074.625591,0,0,0,26117.33342,Bitcoin,BTC
1725,12/11/20,27282.06253,22670.38563,29647.22767,27282.06253,27282.06253,-1002.14314,-1002.14314,-1002.14314,-17.14474846,-17.14474846,-17.14474846,-984.9983917,-984.9983917,-984.9983917,0,0,0,26279.91939,Bitcoin,BTC
1726,12/12/20,27380.70987,23038.3089,29903.63517,27380.70987,27380.70987,-886.8466333,-886.8466333,-886.8466333,1.855941016,1.855941016,1.855941016,-888.7025743,-888.7025743,-888.7025743,0,0,0,26493.86323,Bitcoin,BTC
1727,12/13/20,27479.35721,23282.96463,30032.69709,27479.35721,27479.35721,-819.694953,-819.694953,-819.694953,-34.68859821,-34.68859821,-34.68859821,-785.0063548,-785.0063548,-785.0063548,0,0,0,26659.66225,Bitcoin,BTC
1728,12/14/20,27578.00455,23700.65622,30242.20288,27578.00455,27578.00455,-658.1214742,-658.1214742,-658.1214742,15.17419617,15.17419617,15.17419617,-673.2956704,-673.2956704,-673.2956704,0,0,0,26919.88307,Bitcoin,BTC
1729,12/15/20,27676.65189,23826.16669,30525.51236,27676.65189,27676.65189,-555.7063509,-555.7063509,-555.7063509,-2.606803846,-2.606803846,-2.606803846,-553.099547,-553.099547,-553.099547,0,0,0,27120.94554,Bitcoin,BTC
1730,12/16/20,27775.29923,24034.32504,30865.57941,27775.29923,27775.29923,-395.2464338,-395.2464338,-395.2464338,28.86619023,28.86619023,28.86619023,-424.112624,-424.112624,-424.112624,0,0,0,27380.05279,Bitcoin,BTC
1731,12/17/20,27873.94657,24220.25335,31068.9594,27873.94657,27873.94657,-277.6703205,-277.6703205,-277.6703205,8.543823105,8.543823105,8.543823105,-286.2141436,-286.2141436,-286.2141436,0,0,0,27596.27625,Bitcoin,BTC
1732,12/18/20,27972.59391,24206.4941,31150.6258,27972.59391,27972.59391,-156.6275421,-156.6275421,-156.6275421,-17.14474846,-17.14474846,-17.14474846,-139.4827937,-139.4827937,-139.4827937,0,0,0,27815.96636,Bitcoin,BTC
1733,12/19/20,28071.24125,24834.17649,31577.45906,28071.24125,28071.24125,17.64904983,17.64904983,17.64904983,1.855941016,1.855941016,1.855941016,15.79310881,15.79310881,15.79310881,0,0,0,28088.8903,Bitcoin,BTC
1734,12/20/20,28169.88859,24878.80575,32031.08341,28169.88859,28169.88859,144.4218935,144.4218935,144.4218935,-34.68859821,-34.68859821,-34.68859821,179.1104917,179.1104917,179.1104917,0,0,0,28314.31048,Bitcoin,BTC
1735,12/21/20,28268.53593,25342.58889,31873.03758,28268.53593,28268.53593,364.9259293,364.9259293,364.9259293,15.17419617,15.17419617,15.17419617,349.7517331,349.7517331,349.7517331,0,0,0,28633.46185,Bitcoin,BTC
1736,12/22/20,28367.18327,25275.50351,32441.35325,28367.18327,28367.18327,524.183531,524.183531,524.183531,-2.606803846,-2.606803846,-2.606803846,526.7903348,526.7903348,526.7903348,0,0,0,28891.3668,Bitcoin,BTC
1737,12/23/20,28465.83061,25667.35235,32819.97255,28465.83061,28465.83061,737.9682538,737.9682538,737.9682538,28.86619023,28.86619023,28.86619023,709.1020635,709.1020635,709.1020635,0,0,0,29203.79886,Bitcoin,BTC
1738,12/24/20,28564.47795,26198.38368,33141.00877,28564.47795,28564.47795,903.925238,903.925238,903.925238,8.543823105,8.543823105,8.543823105,895.3814149,895.3814149,895.3814149,0,0,0,29468.40318,Bitcoin,BTC
1739,12/25/20,28663.12529,26066.4994,33340.46065,28663.12529,28663.12529,1067.018369,1067.018369,1067.018369,-17.14474846,-17.14474846,-17.14474846,1084.163118,1084.163118,1084.163118,0,0,0,29730.14365,Bitcoin,BTC
1740,12/26/20,28761.77263,26479.07374,33465.08925,28761.77263,28761.77263,1275.704203,1275.704203,1275.704203,1.855941016,1.855941016,1.855941016,1273.848262,1273.848262,1273.848262,0,0,0,30037.47683,Bitcoin,BTC
1741,12/27/20,28860.41997,26838.2574,33936.90347,28860.41997,28860.41997,1428.045908,1428.045908,1428.045908,-34.68859821,-34.68859821,-34.68859821,1462.734506,1462.734506,1462.734506,0,0,0,30288.46587,Bitcoin,BTC
1742,12/28/20,28959.06731,27148.53356,34136.13274,28959.06731,28959.06731,1664.223912,1664.223912,1664.223912,15.17419617,15.17419617,15.17419617,1649.049716,1649.049716,1649.049716,0,0,0,30623.29122,Bitcoin,BTC
1743,12/29/20,29057.71465,27674.33373,34439.83537,29057.71465,29057.71465,1828.381474,1828.381474,1828.381474,-2.606803846,-2.606803846,-2.606803846,1830.988278,1830.988278,1830.988278,0,0,0,30886.09612,Bitcoin,BTC
1744,12/30/20,29156.36198,27732.54674,34633.9536,29156.36198,29156.36198,2035.61546,2035.61546,2035.61546,28.86619023,28.86619023,28.86619023,2006.74927,2006.74927,2006.74927,0,0,0,31191.97745,Bitcoin,BTC
1745,12/31/20,29255.00932,27880.7298,34862.71812,29255.00932,29255.00932,2183.119414,2183.119414,2183.119414,8.543823105,8.543823105,8.543823105,2174.575591,2174.575591,2174.575591,0,0,0,31438.12874,Bitcoin,BTC
1746,1/1/21,29353.65666,28409.73507,35162.00438,29353.65666,29353.65666,2315.648397,2315.648397,2315.648397,-17.14474846,-17.14474846,-17.14474846,2332.793145,2332.793145,2332.793145,0,0,0,31669.30506,Bitcoin,BTC
