Date,Open,High,Low,Close,Adj Close,Volume,Currency Name
2019-08-10,0.998624,1.015681,0.994197,0.999664,0.999664,18865220050.0,Tether
2019-08-11,0.999586,1.003358,0.993964,0.99765,0.99765,16176202793.0,Tether
2019-08-12,0.997528,1.0029860000000002,0.996463,0.998427,0.998427,14362593627.0,Tether
2019-08-13,0.99886,1.001146,0.992964,0.996607,0.996607,16990669408.0,Tether
2019-08-14,0.996904,1.008766,0.991617,0.993267,0.993267,20899800562.0,Tether
2019-08-15,0.993513,1.006048,0.9898,1.002768,1.002768,24671808089.0,Tether
2019-08-16,1.003449,1.009421,0.989389,1.002429,1.002429,20270456793.0,Tether
2019-08-17,1.002626,1.006528,0.994905,1.000918,1.000918,14226877438.0,Tether
2019-08-18,1.000777,1.006359,0.99509,1.003422,1.003422,14364172776.0,Tether
2019-08-19,1.003141,1.008052,0.999314,1.004276,1.004276,16811861913.0,Tether
2019-08-20,1.004927,1.006229,0.997226,1.000555,1.000555,16172223852.0,Tether
2019-08-21,1.000563,1.012456,0.988811,0.994472,0.994472,21391478351.0,Tether
2019-08-22,0.994162,1.015007,0.989497,1.00298,1.00298,19233722241.0,Tether
2019-08-23,1.0029549999999998,1.00734,0.995214,1.003907,1.003907,17469694439.0,Tether
2019-08-24,1.003852,1.012367,0.994502,1.002637,1.002637,16855228119.0,Tether
2019-08-25,1.002344,1.012711,0.997705,0.999559,0.999559,15701077262.0,Tether
2019-08-26,0.998459,1.008044,0.99048,1.001347,1.001347,20439272588.0,Tether
2019-08-27,1.001347,1.004902,0.994668,0.999137,0.999137,15741344309.0,Tether
2019-08-28,0.997596,1.016189,0.995672,0.996918,0.996918,20067236222.0,Tether
2019-08-29,0.996938,1.004317,0.990583,1.002594,1.002594,19588460309.0,Tether
2019-08-30,1.002507,1.006286,0.997414,1.00209,1.00209,15743697557.0,Tether
2019-08-31,1.0021129999999998,1.010828,0.99883,1.003744,1.003744,13595017430.0,Tether
2019-09-01,1.003919,1.006601,0.997522,1.004573,1.004573,13692453817.0,Tether
2019-09-02,1.004384,1.006297,0.995956,1.003085,1.003085,19393673770.0,Tether
2019-09-03,1.003128,1.008949,0.997069,1.002552,1.002552,20961149310.0,Tether
2019-09-04,1.002453,1.008128,0.997986,1.002481,1.002481,17773100138.0,Tether
2019-09-05,1.002787,1.006123,0.99748,1.001045,1.001045,16117656384.0,Tether
2019-09-06,1.001077,1.0191,0.99731,1.0034,1.0034,21625818728.0,Tether
2019-09-07,1.003629,1.006852,0.996417,1.005914,1.005914,17519761214.0,Tether
2019-09-08,1.006281,1.01924,0.9998,1.0052530000000002,1.0052530000000002,16261435450.0,Tether
2019-09-09,1.003201,1.010137,0.99368,1.002489,1.002489,20257637729.0,Tether
2019-09-10,1.002424,1.010988,0.997473,0.999806,0.999806,17017654802.0,Tether
2019-09-11,1.000206,1.007151,0.994772,1.002407,1.002407,18377750474.0,Tether
2019-09-12,1.00265,1.00698,1.000691,1.002317,1.002317,16402248661.0,Tether
2019-09-13,1.001883,1.007705,1.000325,1.001374,1.001374,15996355710.0,Tether
2019-09-14,1.002197,1.006147,0.998992,1.002235,1.002235,16159387143.0,Tether
2019-09-15,1.002409,1.007639,1.000145,1.003904,1.003904,14415596813.0,Tether
2019-09-16,1.003877,1.012914,0.997661,1.001626,1.001626,17893377310.0,Tether
2019-09-17,1.001854,1.006908,0.998028,1.0048860000000002,1.0048860000000002,19476441246.0,Tether
2019-09-18,1.005179,1.01016,1.002103,1.004889,1.004889,20444983557.0,Tether
2019-09-19,1.005058,1.022025,0.996239,1.002989,1.002989,24952094604.0,Tether
2019-09-20,1.003935,1.0064110000000002,0.998032,1.000951,1.000951,18113214694.0,Tether
2019-09-21,1.000485,1.006575,0.999478,1.0023540000000002,1.0023540000000002,16319022643.0,Tether
2019-09-22,1.002471,1.007005,0.997709,1.002634,1.002634,16627445896.0,Tether
2019-09-23,1.003289,1.014063,0.998132,1.002548,1.002548,18747409475.0,Tether
2019-09-24,1.002475,1.057203,0.996689,1.007158,1.007158,30921334257.0,Tether
2019-09-25,1.005948,1.010672,0.997471,1.006749,1.006749,26997260690.0,Tether
2019-09-26,1.0063879999999998,1.02035,0.995644,1.004431,1.004431,22801049085.0,Tether
2019-09-27,1.004543,1.011024,0.999738,1.010344,1.010344,19746430476.0,Tether
2019-09-28,1.009524,1.013974,0.998413,1.004628,1.004628,16912669853.0,Tether
2019-09-29,1.004728,1.016153,1.001023,1.0056770000000002,1.0056770000000002,15804140912.0,Tether
2019-09-30,1.00599,1.011501,0.997939,1.004109,1.004109,21100592344.0,Tether
2019-10-01,1.003036,1.012346,0.9987,1.0063959999999998,1.0063959999999998,19030134292.0,Tether
2019-10-02,1.0061790000000002,1.008218,1.001401,1.004245,1.004245,15811830977.0,Tether
2019-10-03,1.0042209999999998,1.011716,0.998967,1.004948,1.004948,16169258787.0,Tether
2019-10-04,1.004716,1.012306,1.0033,1.008841,1.008841,15728274369.0,Tether
2019-10-05,1.008136,1.010389,0.999737,1.001932,1.001932,14434599810.0,Tether
2019-10-06,1.001816,1.019164,1.001007,1.0120870000000002,1.0120870000000002,15827357439.0,Tether
2019-10-07,1.011095,1.015279,0.997375,1.008524,1.008524,21724647654.0,Tether
2019-10-08,1.00789,1.009039,1.00059,1.00612,1.00612,18815341020.0,Tether
2019-10-09,1.0064620000000002,1.009744,0.995585,1.005719,1.005719,23029987899.0,Tether
2019-10-10,1.005896,1.0103959999999998,0.998622,1.0032370000000002,1.0032370000000002,20928242912.0,Tether
2019-10-11,1.003059,1.0185879999999998,0.994763,1.012352,1.012352,23204107707.0,Tether
2019-10-12,1.012453,1.015668,1.000663,1.004475,1.004475,17304431390.0,Tether
2019-10-13,1.004408,1.0166,1.00083,1.004942,1.004942,16192755686.0,Tether
2019-10-14,1.00484,1.008063,0.994655,1.0041950000000002,1.0041950000000002,17801736393.0,Tether
2019-10-15,1.004245,1.012876,0.998641,1.00405,1.00405,19049522501.0,Tether
2019-10-16,1.004029,1.009975,0.999617,1.006127,1.006127,19824055272.0,Tether
2019-10-17,1.005886,1.008694,1.00173,1.004207,1.004207,17434260359.0,Tether
2019-10-18,1.004518,1.015143,1.000727,1.002739,1.002739,19250435708.0,Tether
2019-10-19,1.002991,1.0102799999999998,0.997877,1.006851,1.006851,17298548068.0,Tether
2019-10-20,1.0061870000000002,1.009882,0.997678,1.0028860000000002,1.0028860000000002,19329244106.0,Tether
2019-10-21,1.002801,1.0075459999999998,1.001367,1.004178,1.004178,19359959756.0,Tether
2019-10-22,1.004186,1.007601,1.001995,1.00449,1.00449,20074662023.0,Tether
2019-10-23,1.004395,1.035239,0.999671,1.002449,1.002449,28104432431.0,Tether
2019-10-24,1.001505,1.0093379999999998,0.982727,1.007428,1.007428,22266038845.0,Tether
2019-10-25,1.007398,1.009731,0.976078,1.0021719999999998,1.0021719999999998,37383241390.0,Tether
2019-10-26,1.002188,1.014726,0.969353,1.001595,1.001595,53509128965.0,Tether
2019-10-27,1.001745,1.012699,0.97702,1.004242,1.004242,40519447549.0,Tether
2019-10-28,1.002824,1.010933,0.978821,1.0028549999999998,1.0028549999999998,38665694771.0,Tether
2019-10-29,1.004024,1.0130629999999998,0.992977,1.002135,1.002135,35047512730.0,Tether
2019-10-30,1.002578,1.008731,0.99934,1.005853,1.005853,32807890269.0,Tether
2019-10-31,1.006407,1.0343870000000002,0.998004,1.006419,1.006419,30727310848.0,Tether
2019-11-01,1.006538,1.01072,1.000962,1.004101,1.004101,27864589885.0,Tether
2019-11-02,1.0040129999999998,1.0121950000000002,0.997896,1.004758,1.004758,23973071925.0,Tether
2019-11-03,1.005079,1.013134,0.998527,1.004447,1.004447,24597499287.0,Tether
2019-11-04,1.004042,1.007734,0.99369,1.004343,1.004343,30710349697.0,Tether
