,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1382,2018-06-30,7474.044554071272,1574.431971969154,11710.822490272334,7474.044554071272,7474.044554071272,-814.7930595887549,-814.7930595887549,-814.7930595887549,-12.555161555625748,-12.555161555625748,-12.555161555625748,-802.237898033129,-802.237898033129,-802.237898033129,0.0,0.0,0.0,6659.251494482517
1383,2018-07-01,7462.58331540712,1492.2547991684535,11771.17826984858,7462.58331540712,7462.58331540712,-833.9056801842205,-833.9056801842205,-833.9056801842205,-37.78078319090956,-37.78078319090956,-37.78078319090956,-796.124896993311,-796.124896993311,-796.124896993311,0.0,0.0,0.0,6628.677635222899
1384,2018-07-02,7451.122076742967,1646.5131836175424,11597.165849241956,7451.122076742967,7451.122076742967,-777.3177654444461,-777.3177654444461,-777.3177654444461,14.979410154077513,14.979410154077513,14.979410154077513,-792.2971755985236,-792.2971755985236,-792.2971755985236,0.0,0.0,0.0,6673.804311298521
1385,2018-07-03,7439.660838078815,1544.1147034691173,11413.750126088979,7439.660838078815,7439.660838078815,-787.1719103722099,-787.1719103722099,-787.1719103722099,3.789272895099519,3.789272895099519,3.789272895099519,-790.9611832673095,-790.9611832673095,-790.9611832673095,0.0,0.0,0.0,6652.488927706605
1386,2018-07-04,7428.199599414662,1534.1163374009707,11624.41797621741,7428.199599414662,7428.199599414662,-768.3876153534311,-768.3876153534311,-768.3876153534311,23.856484388937623,23.856484388937623,23.856484388937623,-792.2440997423687,-792.2440997423687,-792.2440997423687,0.0,0.0,0.0,6659.811984061231
1387,2018-07-05,7416.73836075051,1783.9814967939126,11448.174908039398,7416.73836075051,7416.73836075051,-784.5969254886379,-784.5969254886379,-784.5969254886379,11.591737013990112,11.591737013990112,11.591737013990112,-796.188662502628,-796.188662502628,-796.188662502628,0.0,0.0,0.0,6632.141435261872
1388,2018-07-06,7405.277122086357,1405.972002132474,11561.922496927073,7405.277122086357,7405.277122086357,-806.6313819944304,-806.6313819944304,-806.6313819944304,-3.8809597055126446,-3.8809597055126446,-3.8809597055126446,-802.7504222889178,-802.7504222889178,-802.7504222889178,0.0,0.0,0.0,6598.645740091926
1389,2018-07-07,7393.815883422205,1184.6408137022847,11572.565315014319,7393.815883422205,7393.815883422205,-824.3526934073041,-824.3526934073041,-824.3526934073041,-12.555161555544652,-12.555161555544652,-12.555161555544652,-811.7975318517593,-811.7975318517593,-811.7975318517593,0.0,0.0,0.0,6569.463190014901
1390,2018-07-08,7382.354644758052,1439.3753562956097,12050.776580463815,7382.354644758052,7382.354644758052,-860.8938830985543,-860.8938830985543,-860.8938830985543,-37.78078319086908,-37.78078319086908,-37.78078319086908,-823.1130999076852,-823.1130999076852,-823.1130999076852,0.0,0.0,0.0,6521.460761659498
1391,2018-07-09,7370.8934060939,1956.6463112795059,11732.180819429186,7370.8934060939,7370.8934060939,-821.420657721939,-821.420657721939,-821.420657721939,14.979410154103855,14.979410154103855,14.979410154103855,-836.4000678760428,-836.4000678760428,-836.4000678760428,0.0,0.0,0.0,6549.472748371961
1392,2018-07-10,7359.432167429747,1696.6895547403162,11304.357861881574,7359.432167429747,7359.432167429747,-847.4992204896628,-847.4992204896628,-847.4992204896628,3.7892728951054284,3.7892728951054284,3.7892728951054284,-851.2884933847683,-851.2884933847683,-851.2884933847683,0.0,0.0,0.0,6511.932946940085
