Date,Open,High,Low,Close,Adj Close,Volume
8/19/2017,1.00792,1.03614,0.980183,1.00274,1.00274,281632992
8/20/2017,0.997167,1.0161,0.983909,0.996629,0.996629,133754000
8/21/2017,0.999538,1.00992,0.990459,0.999263,0.999263,208830000
8/22/2017,1.00121,1.0151,0.990916,1.00652,1.00652,241915008
8/23/2017,1.00429,1.01276,0.991684,1.00201,1.00201,195159008
8/24/2017,0.999332,1.01398,0.990714,1.00492,1.00492,132330000
8/25/2017,1.00474,1.01565,0.998112,1.00286,1.00286,116308000
8/26/2017,1.00399,1.00606,0.995768,0.998932,0.998932,98081296
8/27/2017,1.00013,1.00616,0.99709,1.00294,1.00294,104722000
8/28/2017,1.00243,1.0105,0.995565,1.00106,1.00106,130785000
8/29/2017,1.00253,1.01681,0.99569,1.00152,1.00152,132123000
8/30/2017,1.0017,1.00721,0.996119,1.00074,1.00074,114992000
8/31/2017,1.00006,1.00823,0.999514,1.00312,1.00312,109217000
9/1/2017,1.00405,1.01373,1.00054,1.00437,1.00437,199664000
9/2/2017,1.00459,1.04082,0.998739,1.01788,1.01788,345971008
9/3/2017,1.01406,1.02787,0.99962,1.00223,1.00223,188687008
9/4/2017,1.00259,1.04513,0.997741,1.03055,1.03055,375472992
9/5/2017,1.02633,1.04426,0.999893,1.00423,1.00423,271614016
9/6/2017,1.0059,1.04522,1.00026,1.00509,1.00509,192688992
9/7/2017,1.00384,1.01247,0.99577,1.00135,1.00135,166452992
9/8/2017,1.00175,1.05077,0.997327,1.00689,1.00689,319590016
9/9/2017,1.01301,1.015,0.99837,1.00125,1.00125,119580000
9/10/2017,1.00343,1.0206,0.99618,1.00545,1.00545,163772992
9/11/2017,1.0041,1.01853,0.990974,1.00107,1.00107,125845000
9/12/2017,1.00126,1.01509,0.996226,1.00529,1.00529,162774000
9/13/2017,1.00163,1.02105,0.991963,1.00254,1.00254,257404000
9/14/2017,1.00269,1.02614,0.979949,1.00313,1.00313,356495008
9/15/2017,1.00378,1.03025,0.966404,1.00537,1.00537,540294976
9/16/2017,1.00254,1.03611,0.99121,1.00199,1.00199,233444992
9/17/2017,1.00733,1.01442,0.992028,1.00657,1.00657,119083000
9/18/2017,1.00221,1.01258,0.992399,1.00241,1.00241,214648000
9/19/2017,1.00172,1.01367,0.995487,1.00185,1.00185,163298000
9/20/2017,1.00432,1.005,0.988993,1.00454,1.00454,137763008
9/21/2017,0.997446,1.01523,0.994434,1.00472,1.00472,231706000
9/22/2017,1.00516,1.01201,0.998901,1.00459,1.00459,164432000
9/23/2017,1.00081,1.01016,0.997654,1.00209,1.00209,118296000
9/24/2017,1.00179,1.00885,0.9991,1.00293,1.00293,91337904
9/25/2017,1.00316,1.00753,0.984388,1.0013,1.0013,160336992
9/26/2017,1.00084,1.00653,0.995946,1.00259,1.00259,103839000
9/27/2017,1.00128,1.00406,0.991286,1.00064,1.00064,201224000
9/28/2017,1.00009,1.01183,0.995264,1.00179,1.00179,232499008
9/29/2017,0.998357,1.0209,0.994503,0.999863,0.999863,205406000
9/30/2017,1.00042,1.00215,0.993904,0.996488,0.996488,117411000
10/1/2017,0.997266,1.00217,0.994993,0.999924,0.999924,103007000
10/2/2017,0.998088,1.00476,0.995807,1.0017,1.0017,126009000
10/3/2017,1.00188,1.00782,0.9988,1.00012,1.00012,137567008
10/4/2017,1.00191,1.00998,0.997725,1.00125,1.00125,114903000
10/5/2017,1.00027,1.00675,0.996433,1.0003,1.0003,119952000
