,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Crypto Name,Ticker
884,2018-08-19,8772.053339874401,2605.228421038924,9675.209728078202,8772.053339874401,8772.053339874401,-2641.170250001805,-2641.170250001805,-2641.170250001805,-34.68859821046709,-34.68859821046709,-34.68859821046709,-2606.4816517913378,-2606.4816517913378,-2606.4816517913378,0.0,0.0,0.0,6130.8830898725955,Bitcoin,BTC
885,2018-08-20,8788.654128750857,2562.6628202502698,9602.960013773223,8788.654128750857,8788.654128750857,-2660.833166003653,-2660.833166003653,-2660.833166003653,15.17419616962023,15.17419616962023,15.17419616962023,-2676.007362173273,-2676.007362173273,-2676.007362173273,0.0,0.0,0.0,6127.820962747204,Bitcoin,BTC
886,2018-08-21,8805.254917627311,2724.2594458841354,9392.853876774236,8805.254917627311,8805.254917627311,-2751.1412818561535,-2751.1412818561535,-2751.1412818561535,-2.606803845605998,-2.606803845605998,-2.606803845605998,-2748.5344780105474,-2748.5344780105474,-2748.5344780105474,0.0,0.0,0.0,6054.113635771158,Bitcoin,BTC
887,2018-08-22,8821.855706503768,2653.324994154376,9561.459711317168,8821.855706503768,8821.855706503768,-2794.554935123331,-2794.554935123331,-2794.554935123331,28.866190229911147,28.866190229911147,28.866190229911147,-2823.4211253532426,-2823.4211253532426,-2823.4211253532426,0.0,0.0,0.0,6027.300771380436,Bitcoin,BTC
888,2018-08-23,8838.456495380224,2475.1173211372516,9445.870184595808,8838.456495380224,8838.456495380224,-2891.4547390151115,-2891.4547390151115,-2891.4547390151115,8.543823105058907,8.543823105058907,8.543823105058907,-2899.998562120171,-2899.998562120171,-2899.998562120171,0.0,0.0,0.0,5947.001756365113,Bitcoin,BTC
889,2018-08-24,8855.05728425668,2413.2566767646304,9336.96792469824,8855.05728425668,8855.05728425668,-2994.7340804321043,-2994.7340804321043,-2994.7340804321043,-17.144748464247122,-17.144748464247122,-17.144748464247122,-2977.589331967857,-2977.589331967857,-2977.589331967857,0.0,0.0,0.0,5860.323203824575,Bitcoin,BTC
890,2018-08-25,8871.658073133134,2317.582680308727,9437.278894087809,8871.658073133134,8871.658073133134,-3053.669409667828,-3053.669409667828,-3053.669409667828,1.8559410160779415,1.8559410160779415,1.8559410160779415,-3055.5253506839053,-3055.5253506839053,-3055.5253506839053,0.0,0.0,0.0,5817.988663465307,Bitcoin,BTC
891,2018-08-26,8888.25886200959,2103.1084279812853,9051.328399035248,8888.25886200959,8888.25886200959,-3167.853998559445,-3167.853998559445,-3167.853998559445,-34.68859821047099,-34.68859821047099,-34.68859821047099,-3133.165400348974,-3133.165400348974,-3133.165400348974,0.0,0.0,0.0,5720.404863450145,Bitcoin,BTC
892,2018-08-27,8904.859650886046,2486.7613060342746,9163.769105266252,8904.859650886046,8904.859650886046,-3194.737327909893,-3194.737327909893,-3194.737327909893,15.174196169623393,15.174196169623393,15.174196169623393,-3209.9115240795168,-3209.9115240795168,-3209.9115240795168,0.0,0.0,0.0,5710.122322976154,Bitcoin,BTC
893,2018-08-28,8921.4604397625,2213.1833478132266,9082.998315180925,8921.4604397625,8921.4604397625,-3287.830650442303,-3287.830650442303,-3287.830650442303,-2.606803845701489,-2.606803845701489,-2.606803845701489,-3285.223846596602,-3285.223846596602,-3285.223846596602,0.0,0.0,0.0,5633.629789320197,Bitcoin,BTC
